x,y,z
0.0,1.0,1.0
0.9510565162951535,0.8090169943749475,1.01
0.5877852522924732,0.30901699437494745,1.02
-0.5877852522924734,-0.30901699437494756,1.03
-0.9510565162951536,-0.8090169943749473,1.04
-2.4492935982947064e-16,-1.0,1.05
0.9510565162951538,-0.8090169943749472,1.06
0.5877852522924734,-0.30901699437494756,1.07
-0.5877852522924728,0.30901699437494723,1.08
-0.9510565162951538,0.8090169943749473,1.09
-4.898587196589413e-16,1.0,1.1
0.951056516295154,0.809016994374947,1.11
0.5877852522924721,0.30901699437494684,1.12
-0.5877852522924726,-0.3090169943749471,1.13
-0.9510565162951538,-0.8090169943749472,1.1400000000000001
-7.347880794884119e-16,-1.0,1.15
0.9510565162951533,-0.8090169943749477,1.16
0.5877852522924709,-0.3090169943749461,1.17
-0.5877852522924725,0.309016994374947,1.18
-0.9510565162951539,0.8090169943749471,1.19
-9.797174393178826e-16,1.0,1.2
0.9510565162951533,0.8090169943749477,1.21
0.5877852522924711,0.30901699437494623,1.22
-0.5877852522924751,-0.30901699437494856,1.23
-0.9510565162951529,-0.8090169943749481,1.24
-1.2246467991473533e-15,-1.0,1.25
0.9510565162951532,-0.8090169943749478,1.26
0.5877852522924742,-0.30901699437494806,1.27
-0.587785252292472,0.3090169943749468,1.28
-0.9510565162951519,0.8090169943749491,1.29
-1.4695761589768238e-15,1.0,1.3
0.9510565162951531,0.8090169943749479,1.31
0.5877852522924744,0.3090169943749482,1.32
-0.5877852522924718,-0.3090169943749467,1.33
-0.9510565162951519,-0.809016994374949,1.34
-1.7145055188062944e-15,-1.0,1.35
0.951056516295153,-0.8090169943749479,1.3599999999999999
0.5877852522924746,-0.3090169943749483,1.37
-0.5877852522924716,0.30901699437494656,1.38
-0.951056516295152,0.809016994374949,1.3900000000000001
-1.959434878635765e-15,1.0,1.4
0.9510565162951552,0.8090169943749459,1.4100000000000001
0.5877852522924748,0.3090169943749484,1.42
-0.5877852522924715,-0.3090169943749464,1.43
-0.9510565162951521,-0.8090169943749489,1.44
-2.204364238465236e-15,-1.0,1.45
0.9510565162951551,-0.809016994374946,1.46
0.587785252292475,-0.3090169943749485,1.47
-0.587785252292477,0.30901699437494967,1.48
-0.9510565162951521,0.8090169943749488,1.49
-2.4492935982947065e-15,1.0,1.5
0.951056516295155,0.8090169943749461,1.51
0.5877852522924751,0.3090169943749486,1.52
-0.5877852522924768,-0.30901699437494956,1.53
-0.9510565162951544,-0.8090169943749467,1.54
-9.799650315725178e-15,-1.0,1.55
0.9510565162951528,-0.8090169943749482,1.56
0.5877852522924696,-0.3090169943749454,1.57
-0.5877852522924824,0.30901699437495284,1.58
-0.9510565162951523,0.8090169943749487,1.5899999999999999
-2.9391523179536475e-15,1.0,1.6
0.9510565162951549,0.8090169943749462,1.6099999999999999
0.5877852522924756,0.3090169943749489,1.62
-0.5877852522924764,-0.30901699437494934,1.63
-0.9510565162951545,-0.8090169943749465,1.6400000000000001
3.921345679817883e-15,-1.0,1.65
0.9510565162951525,-0.8090169943749483,1.6600000000000001
0.58778525229247,-0.3090169943749456,1.67
-0.5877852522924819,0.3090169943749526,1.6800000000000002
-0.9510565162951524,0.8090169943749486,1.69
-3.429011037612589e-15,1.0,1.7000000000000002
0.9510565162951546,0.8090169943749463,1.71
0.587785252292476,0.3090169943749491,1.72
-0.587785252292476,-0.3090169943749491,1.73
-0.9510565162951546,-0.8090169943749463,1.74
-1.0779367755043061e-14,-1.0,1.75
0.9510565162951524,-0.8090169943749486,1.76
0.5877852522924705,-0.30901699437494584,1.77
-0.5877852522924816,0.3090169943749524,1.78
-0.9510565162951525,0.8090169943749483,1.79
-3.91886975727153e-15,1.0,1.8
0.9510565162951502,0.8090169943749507,1.81
0.5877852522924649,0.30901699437494257,1.82
-0.5877852522924756,-0.3090169943749489,1.83
-0.9510565162951549,-0.8090169943749462,1.8399999999999999
2.941628240500001e-15,-1.0,1.85
0.9510565162951523,-0.8090169943749487,1.8599999999999999
0.5877852522924708,-0.30901699437494606,1.87
-0.5877852522924811,0.3090169943749521,1.88
-0.9510565162951528,0.8090169943749482,1.8900000000000001
-4.408728476930472e-15,1.0,1.9
0.95105651629515,0.8090169943749508,1.9100000000000001
0.5877852522924653,0.3090169943749428,1.92
-0.5877852522924752,-0.3090169943749486,1.9300000000000002
-0.951056516295155,-0.8090169943749461,1.94
-1.1759085194360944e-14,-1.0,1.9500000000000002
0.9510565162951565,-0.8090169943749447,1.96
0.5877852522924712,-0.3090169943749463,1.97
-0.5877852522924808,0.3090169943749519,1.98
-0.9510565162951529,0.8090169943749481,1.99
